iter	RMSE
0	1936.583848
1	1873.274004
2	1809.039415
3	1751.818928
4	1696.071244
5	1645.749528
6	1596.804502
7	1552.833156
8	1509.890797
9	1469.209331
10	1431.124621
11	1397.403518
12	1365.199289
13	1336.644896
14	1307.512355
15	1281.747381
16	1256.506231
17	1235.080207
18	1216.184889
19	1195.773486
20	1177.005296
21	1160.526745
22	1144.173153
23	1129.498837
24	1116.222959
25	1103.175551
26	1091.28172
27	1081.027637
28	1070.569733
29	1060.355273
30	1051.577763
31	1043.116148
32	1036.395677
33	1028.832586
34	1022.441259
35	1016.280931
36	1011.133969
37	1005.469538
38	1000.014156
39	993.4497812
40	989.2431497
41	984.9452153
42	980.7658712
43	975.9070737
44	972.386078
45	969.3005246
46	965.8129854
47	961.8621291
48	959.0993751
49	956.0983899
50	952.5236975
51	949.8453824
52	947.3307313
53	943.8240485
54	941.7715925
55	939.5714193
56	936.4894281
57	934.175668
58	932.2027677
59	930.4228317
60	928.7129964
61	926.7805119
62	924.4205634
63	923.0215297
64	920.6364644
65	919.1208103
66	916.9045307
67	915.0495757
68	912.9218738
69	911.6964773
70	910.4549067
71	909.3309024
72	908.2558423
73	906.8742514
74	905.6699858
75	903.6694432
76	902.3666939
77	900.6531697
78	899.5885462
79	898.7032033
80	897.942779
81	896.4813487
82	895.6488239
83	894.6001903
84	893.7414198
85	893.0999995
86	892.1080639
87	890.8710157
88	889.012861
89	887.9884525
90	887.4442973
91	886.0021299
92	884.6237684
93	883.2051643
94	882.008808
95	881.5124088
96	880.946667
97	879.1181759
98	877.985078
99	876.4866871
