iter	Passed	Remaining
0	59	5935
1	63	3109
2	67	2178
3	71	1706
4	74	1423
5	78	1237
6	82	1093
7	86	991
8	89	908
9	93	840
10	96	783
11	100	739
12	104	697
13	108	664
14	111	633
15	113	597
16	117	573
17	120	549
18	123	527
19	127	510
20	130	492
21	134	475
22	137	460
23	140	445
24	143	431
25	147	420
26	150	407
27	154	396
28	157	385
29	160	374
30	164	365
31	167	356
32	170	346
33	174	337
34	177	329
35	180	321
36	183	313
37	187	305
38	190	297
39	193	290
40	197	283
41	200	276
42	203	270
43	207	263
44	210	257
45	215	252
46	218	246
47	221	240
48	224	234
49	227	227
50	230	221
51	234	216
52	237	210
53	240	204
54	243	199
55	247	194
56	250	189
57	254	184
58	257	179
59	261	174
60	265	169
61	268	164
62	272	159
63	275	155
64	279	150
65	283	145
66	286	141
67	289	136
68	293	131
69	296	126
70	299	122
71	302	117
72	306	113
73	309	108
74	312	104
75	315	99
76	318	95
77	321	90
78	325	86
79	327	81
80	331	77
81	334	73
82	337	69
83	339	64
84	342	60
85	345	56
86	348	52
87	351	47
88	354	43
89	357	39
90	360	35
91	364	31
92	367	27
93	370	23
94	374	19
95	377	15
96	380	11
97	384	7
98	387	3
99	391	0
