,userid,Recency,Frequency,Monetary,Monetary_score,Recency_score
0,1,2023-01-01,1.0,60000,1,1
1,2,2023-05-01,2.0,120000,2,4
2,3,2023-06-01,4.0,240000,4,5
3,4,2023-06-01,4.0,240000,4,5
4,5,2023-06-01,4.0,240000,4,5
5,6,2023-06-01,4.0,240000,4,5
6,7,2023-06-01,4.0,240000,4,5
7,8,2023-05-01,2.0,120000,2,4
8,9,2023-05-01,2.0,120000,2,4
9,10,2023-05-01,2.0,120000,2,4
10,11,2023-05-01,2.0,120000,2,4
11,12,2023-05-01,2.0,120000,2,4
12,13,2023-05-01,3.0,180000,3,4
13,14,2023-06-01,4.0,240000,4,5
14,15,2023-04-01,2.0,120000,2,3
15,16,2023-04-01,2.0,120000,2,3
16,17,2023-01-01,1.0,60000,1,1
17,18,2023-03-01,2.0,120000,2,2
18,19,2023-01-01,1.0,60000,1,1
19,20,2023-03-01,2.0,120000,2,2
20,21,2023-06-01,2.0,120000,2,5
21,22,2023-03-01,2.0,120000,2,2
22,23,,0.0,0,0,0
23,24,2023-07-01,5.0,300000,5,6
24,25,2023-07-01,5.0,300000,5,6
25,26,,0.0,0,0,0
26,27,2023-07-01,6.0,360000,6,6
27,28,,0.0,0,0,0
28,29,2023-03-01,1.0,60000,1,2
29,30,2023-06-01,2.0,120000,2,5
30,31,2023-06-01,3.0,180000,3,5
31,32,2023-06-01,2.0,120000,2,5
32,33,2023-06-01,3.0,180000,3,5
33,34,2023-04-01,1.0,60000,1,3
34,35,2023-04-01,1.0,60000,1,3
35,36,2023-04-01,1.0,60000,1,3
36,37,2023-05-01,2.0,120000,2,4
37,38,2023-05-01,3.0,180000,3,4
38,39,2023-05-01,2.0,120000,2,4
39,40,2023-05-01,3.0,180000,3,4
40,41,2023-05-01,2.0,120000,2,4
41,42,2023-05-01,1.0,60000,1,4
42,43,2023-05-01,2.0,120000,2,4
43,44,2023-06-01,2.0,120000,2,5
44,45,2023-06-01,2.0,120000,2,5
45,46,2023-06-01,1.0,60000,1,5
46,47,2023-06-01,1.0,60000,1,5
47,48,2023-06-01,1.0,60000,1,5
48,49,,0.0,0,0,0
49,50,2023-07-01,6.0,360000,6,6
50,51,2023-04-01,1.0,60000,1,3
51,52,2023-04-01,1.0,60000,1,3
52,53,2023-04-01,1.0,60000,1,3
53,54,2023-04-01,1.0,60000,1,3
54,55,2023-04-01,1.0,60000,1,3
55,56,2023-04-01,2.0,120000,2,3
56,57,2023-06-01,2.0,120000,2,5
57,58,2023-06-01,2.0,120000,2,5
58,59,2023-06-01,2.0,120000,2,5
59,60,2023-07-01,4.0,240000,4,6
60,61,2023-06-01,2.0,120000,2,5
61,62,2023-06-01,2.0,120000,2,5
62,63,2023-05-01,2.0,120000,2,4
63,64,2023-05-01,1.0,60000,1,4
64,65,2023-05-01,1.0,60000,1,4
65,66,2023-05-01,2.0,120000,2,4
66,67,2023-07-01,6.0,360000,6,6
67,68,2023-07-01,5.0,300000,5,6
68,69,2023-05-01,1.0,60000,1,4
69,70,2023-05-01,1.0,60000,1,4
70,71,2023-06-01,2.0,120000,2,5
71,72,2023-06-01,1.0,60000,1,5
72,73,2023-06-01,2.0,120000,2,5
73,74,2023-06-01,1.0,60000,1,5
74,75,2023-07-01,4.0,240000,4,6
75,76,2023-07-01,5.0,300000,5,6
76,77,2023-04-01,1.0,60000,1,3
77,78,2023-04-01,1.0,60000,1,3
78,79,2023-04-01,2.0,120000,2,3
79,80,2023-04-01,1.0,60000,1,3
80,81,2023-04-01,1.0,60000,1,3
81,82,2023-04-01,1.0,60000,1,3
82,83,2023-04-01,2.0,120000,2,3
83,84,2023-05-01,2.0,120000,2,4
84,85,2023-05-01,3.0,180000,3,4
85,86,2023-05-01,2.0,120000,2,4
86,87,2023-05-01,2.0,120000,2,4
87,88,2023-05-01,2.0,120000,2,4
88,89,2023-06-01,1.0,60000,1,5
89,90,,0.0,0,0,0
90,91,,0.0,0,0,0
91,92,2023-07-01,4.0,240000,4,6
92,93,,0.0,0,0,0
93,94,,0.0,0,0,0
94,95,2023-06-01,1.0,60000,1,5
95,96,,0.0,0,0,0
96,97,,0.0,0,0,0
97,98,2023-06-01,1.0,60000,1,5
98,99,2023-07-01,4.0,240000,4,6
99,100,2023-07-01,3.0,180000,3,6
100,101,2023-07-01,4.0,240000,4,6
101,102,,0.0,0,0,0
102,103,,0.0,0,0,0
103,104,,0.0,0,0,0
104,105,2023-05-01,1.0,60000,1,4
105,106,2023-05-01,1.0,60000,1,4
106,107,2023-05-01,1.0,60000,1,4
107,108,2023-06-01,2.0,120000,2,5
108,109,2023-05-01,1.0,60000,1,4
109,110,2023-07-01,6.0,360000,6,6
110,111,2023-04-01,1.0,60000,1,3
111,112,2023-04-01,1.0,60000,1,3
112,113,2023-04-01,1.0,60000,1,3
113,114,2023-04-01,1.0,60000,1,3
114,115,2023-04-01,1.0,60000,1,3
115,116,2023-06-01,2.0,120000,2,5
116,117,2023-07-01,6.0,360000,6,6
117,118,2023-07-01,6.0,360000,6,6
118,119,,0.0,0,0,0
119,120,,0.0,0,0,0
120,121,,0.0,0,0,0
121,122,,0.0,0,0,0
122,123,2023-05-01,1.0,60000,1,4
123,124,2023-05-01,1.0,60000,1,4
124,125,2023-05-01,1.0,60000,1,4
125,126,2023-06-01,2.0,120000,2,5
126,127,2023-05-01,1.0,60000,1,4
127,128,2023-05-01,1.0,60000,1,4
128,129,,0.0,0,0,0
129,130,,0.0,0,0,0
130,131,,0.0,0,0,0
131,132,,0.0,0,0,0
132,133,2023-06-01,1.0,60000,1,5
133,134,,0.0,0,0,0
134,135,,0.0,0,0,0
135,136,,0.0,0,0,0
136,137,,0.0,0,0,0
137,138,2023-06-01,1.0,60000,1,5
138,139,2023-06-01,1.0,60000,1,5
139,140,2023-06-01,1.0,60000,1,5
140,141,2023-07-01,4.0,240000,4,6
141,142,2023-06-01,1.0,60000,1,5
142,143,2023-06-01,1.0,60000,1,5
143,144,2023-07-01,4.0,240000,4,6
144,145,,0.0,0,0,0
145,146,,0.0,0,0,0
146,147,2023-07-01,4.0,240000,4,6
147,148,,0.0,0,0,0
148,149,,0.0,0,0,0
149,150,,0.0,0,0,0
150,151,,0.0,0,0,0
151,152,,0.0,0,0,0
152,153,2023-06-01,1.0,60000,1,5
153,154,2023-06-01,2.0,120000,2,5
154,155,2023-07-01,5.0,300000,5,6
155,156,2023-06-01,1.0,60000,1,5
156,157,2023-07-01,5.0,300000,5,6
157,158,2023-06-01,1.0,60000,1,5
158,159,2023-06-01,2.0,120000,2,5
159,160,,0.0,0,0,0
160,161,,0.0,0,0,0
161,162,2023-07-01,6.0,360000,6,6
162,163,2023-03-01,1.0,60000,1,2
163,164,2023-03-01,1.0,60000,1,2
164,165,,0.0,0,0,0
165,166,2023-03-01,1.0,60000,1,2
166,167,2023-07-01,5.0,300000,5,6
167,168,2023-07-01,5.0,300000,5,6
168,169,2023-04-01,1.0,60000,1,3
169,170,2023-04-01,1.0,60000,1,3
