iter	RMSE
0	1913.032735
1	1828.673495
2	1751.818706
3	1682.285578
4	1620.043982
5	1563.709176
6	1513.333343
7	1468.69376
8	1427.799416
9	1390.62794
10	1356.587724
11	1328.117883
12	1302.874842
13	1278.881873
14	1258.465581
15	1239.974365
16	1221.78769
17	1208.416006
18	1193.762346
19	1181.402738
20	1170.326444
21	1160.684703
22	1150.967399
23	1141.416491
24	1132.119766
25	1124.974707
26	1118.653509
27	1112.696065
28	1107.350645
29	1100.986919
30	1096.648609
31	1091.719795
32	1086.385939
33	1081.867052
34	1078.406593
35	1073.664228
36	1070.483517
37	1066.578472
38	1061.812263
39	1059.437824
40	1055.704099
41	1053.471509
42	1050.343737
43	1047.228787
44	1043.832976
45	1042.043451
46	1040.034912
47	1038.172944
48	1036.287814
49	1034.523779
50	1031.828387
51	1029.37341
52	1026.851177
53	1024.83409
54	1023.218547
55	1021.410276
56	1019.041125
57	1017.958713
58	1016.873898
59	1015.842506
60	1013.849352
61	1011.563781
62	1009.312382
63	1008.160575
64	1007.063692
65	1004.860919
66	1003.296889
67	1002.572714
68	1001.594775
69	999.9612136
70	999.0529755
71	998.5749257
72	996.5732233
73	994.3066989
74	993.8060915
75	992.8278542
76	991.3262223
77	990.6944288
78	989.4627904
79	988.5876123
80	987.1471872
81	986.603907
82	985.4898989
83	985.2356287
84	984.5608883
85	983.6391108
86	983.1700873
87	981.8924065
88	980.7882547
89	980.0469447
90	979.328512
91	978.9720592
92	977.4977648
93	976.5182228
94	974.88201
95	973.3925159
96	972.2918951
97	971.398312
98	970.9463621
99	970.316975
100	969.6631625
101	969.1807873
102	968.5099963
103	967.4946573
104	966.6085947
105	966.2456003
106	965.2948882
107	964.0334584
108	963.4551977
109	962.9216368
110	962.1598267
111	961.2287213
112	960.8831026
113	960.3937854
114	959.9426628
115	959.5546513
116	959.2066282
117	958.6915781
118	957.7123496
119	957.1966695
120	956.8912356
121	956.5080964
122	955.7990024
123	955.1516165
124	954.6735511
125	953.6926105
126	953.0673314
127	952.7709033
128	952.1542378
129	951.4160556
130	951.0848198
131	950.8616078
132	950.5493136
133	949.6432665
134	948.7964297
135	948.1505913
136	947.4344771
137	946.7691065
138	946.2601629
139	945.8513715
140	945.5680308
141	945.2775744
142	944.6920989
143	944.2938723
144	943.9153776
145	943.1987957
146	942.653559
147	942.1164623
148	941.6070616
149	941.3469454
150	940.4890613
151	940.0150843
152	939.7283757
153	939.1792966
154	938.9333568
155	938.5844592
156	937.9188415
157	937.5441463
158	936.8536447
159	936.3754384
160	935.9258416
161	935.4321703
162	935.1681231
163	934.5857424
164	934.0470528
165	932.6577663
166	932.2118465
167	931.8605561
168	931.6415455
169	931.3339397
170	931.1269744
171	930.6415013
172	930.1980298
173	929.8380782
174	929.6532244
175	929.2662809
176	928.8744223
177	928.5009039
178	928.0937184
179	927.7351052
180	927.2738432
181	926.9236145
182	926.4751946
183	926.130454
184	925.9096833
185	925.7328639
186	925.2339218
187	924.8012207
188	924.6833914
189	924.3563273
190	924.0329142
191	923.2195865
192	922.8635677
193	922.2977956
194	921.823607
195	921.7171438
196	921.4076368
197	920.9384697
198	920.4855516
199	919.5961812
200	919.3009301
201	918.8059125
202	918.0355543
203	917.8489868
204	917.4726566
205	917.2641226
206	917.0361327
207	916.9234783
208	916.5329439
209	916.2487356
210	915.9364632
211	915.8321486
212	915.6808857
213	915.3858904
214	914.9843444
215	914.485779
216	914.2424201
217	913.9793646
218	913.7680583
219	913.100082
220	912.823462
221	912.7376078
222	912.2722701
223	912.1370811
224	911.7106896
225	911.3799706
226	911.1293381
227	910.728204
228	910.4369877
229	910.0944407
230	909.8661337
231	909.5761371
232	909.3506575
233	909.0275406
234	908.4487566
235	908.2194692
236	908.009762
237	907.6098432
238	907.4326514
239	907.0899077
240	906.7407703
241	906.513587
242	906.3646836
243	906.1694089
244	905.9318351
245	905.7820911
246	905.0553881
247	904.7548799
248	904.6139075
249	904.4758727
250	904.2816589
251	904.0523118
252	903.8258636
253	903.5837204
254	903.0845994
255	902.8540256
256	902.6796441
257	902.2440051
258	902.0478077
259	901.8725917
260	901.6338437
261	901.3122507
262	901.016726
263	900.8170063
264	900.6849501
265	900.1326008
266	899.8766672
267	899.4421872
268	899.2925296
269	899.1232763
270	898.7649275
271	898.412712
272	897.990485
273	897.6242304
274	897.4047402
275	897.208236
276	896.8155452
277	896.7044925
278	896.4821649
279	896.2751599
280	896.0324629
281	895.8669793
282	895.5224137
283	895.407035
284	895.1724547
285	894.9735189
286	894.7472684
287	894.5228512
288	894.18876
289	893.8656922
290	893.711616
291	893.5375613
292	893.3486198
293	893.1999168
294	892.9053491
295	892.607343
296	892.3468778
297	892.1672491
298	891.9567437
299	891.7042564
300	891.4590069
301	890.9030598
302	890.6216954
303	890.4879204
304	890.1401456
305	889.844676
306	889.6532049
307	889.5046539
308	889.3438285
309	889.281909
310	889.0639053
311	888.9011115
312	888.6083454
313	888.3373952
314	888.190836
315	887.9980707
316	887.7850726
317	887.6610558
318	887.3749238
319	887.2122138
320	886.967193
321	886.731675
322	886.4392637
323	886.1296066
324	885.9023901
325	885.7261843
326	885.4677476
327	885.2806424
328	885.0340022
329	884.8084156
330	884.53838
331	884.2661926
332	884.0308667
333	883.8701218
334	883.6649109
335	883.5032888
336	883.3575621
337	883.1540974
338	882.9477951
339	882.7903225
340	882.5192602
341	882.2262559
342	882.0882242
343	881.9620116
344	881.8230578
345	881.6147064
346	881.4589458
347	881.3426816
348	881.1270491
349	881.0718306
350	880.8093579
351	880.5962866
352	880.4499059
353	880.1781282
354	879.9838723
355	879.8221899
356	879.625114
357	879.4571266
358	879.248086
359	879.0594613
360	878.9272576
361	878.7110217
362	878.6293009
363	878.2814506
364	878.0474951
365	877.8592717
366	877.7121518
367	877.5532071
368	877.3903945
369	877.1291684
370	876.9977794
371	876.8394798
372	876.7837838
373	876.596755
374	876.3949156
375	876.1556945
376	876.0827508
377	875.9663174
378	875.7952637
379	875.6202182
380	875.4620271
381	875.3367518
382	875.1625414
383	875.0645438
384	874.7946564
385	874.6673179
386	874.5087205
387	874.3346943
388	874.1679364
389	874.0635162
390	873.4966703
391	873.2872011
392	873.0991851
393	872.9851111
394	872.8127506
395	872.6556886
396	872.5279242
397	872.3357367
398	872.2023287
399	872.0228534
400	871.8018711
401	871.6744165
402	871.3757471
403	871.2247784
404	871.0847288
405	870.9086689
406	870.7669194
407	870.6573201
408	870.5755262
409	870.2505764
410	870.0699882
411	869.7338385
412	869.5846917
413	869.2547048
414	869.1861641
415	869.0734462
416	868.7834022
417	868.6069157
418	868.3392568
419	868.200919
420	868.0585187
421	867.9276631
422	867.7420633
423	867.5693444
424	867.3916623
425	867.2363469
426	867.1304132
427	866.9393073
428	866.8224858
429	866.6392835
430	866.5167619
431	866.3997439
432	866.1384089
433	866.0265613
434	865.9015947
435	865.7427881
436	865.3934768
437	865.3033681
438	864.9902935
439	864.8807449
440	864.7054462
441	864.5139194
442	864.2668081
443	864.149469
444	864.01613
445	863.9001444
446	863.7688205
447	863.6201063
448	863.3641842
449	863.2849973
450	862.8964287
451	862.7627267
452	862.669833
453	862.5429569
454	862.4062009
455	862.2591557
456	862.0975995
457	861.9679565
458	861.8072923
459	861.6893171
460	861.5844144
461	861.5075285
462	861.3840892
463	861.3089232
464	861.0903489
465	860.989357
466	860.8385255
467	860.5692256
468	860.4117281
469	860.2557114
470	860.1437032
471	859.9868256
472	859.8515844
473	859.682088
474	859.5462155
475	859.4057971
476	859.3317902
477	859.2050663
478	859.0800461
479	859.0218585
480	858.8479775
481	858.6694018
482	858.5401575
483	858.3300592
484	858.2176661
485	857.9878664
486	857.8846498
487	857.7289439
488	857.5483643
489	857.4232802
490	857.2849308
491	857.1235014
492	856.9862013
493	856.9069285
494	856.8042059
495	856.7162674
496	856.618016
497	856.531887
498	856.4209028
499	856.2074656
500	856.1106162
501	856.0136463
502	855.894174
503	855.7717701
504	855.6007058
505	855.5071101
506	855.1737641
507	855.0483092
508	854.9720406
509	854.4881776
510	854.2534308
511	854.1530124
512	854.0848484
513	854.0046861
514	853.7080271
515	853.6425576
516	853.5000647
517	853.4236417
518	853.3251272
519	853.2305336
520	853.0660307
521	852.9654339
522	852.8769306
523	852.7374078
524	852.6014678
525	852.4523348
526	852.3617457
527	852.2060816
528	852.0791202
529	851.9565513
530	851.8905987
531	851.815357
532	851.7011038
533	851.4559163
534	851.3932387
535	851.2766367
536	851.1338985
537	850.9479771
538	850.7888336
539	850.6746224
540	850.5289514
541	850.4661022
542	850.1015238
543	849.910845
544	849.8064359
545	849.4579828
546	849.3818018
547	849.2433333
548	849.2015367
549	849.0815902
550	848.9677185
551	848.8295709
552	848.6961538
553	848.5674435
554	848.392056
555	848.2210564
556	848.0682304
557	847.9010342
558	847.7942124
559	847.6844233
560	847.5709194
561	847.396784
562	847.1422598
563	847.0169308
564	846.8929975
565	846.8399779
566	846.7511713
567	846.6813248
568	846.5665966
569	846.468889
570	846.3942698
571	846.2494354
572	846.1435731
573	846.065343
574	845.9003061
575	845.7994342
576	845.7369929
577	845.651468
578	845.5701931
579	845.4341811
580	845.3059699
581	845.182366
582	845.0092993
583	844.7933289
584	844.6057864
585	844.4917906
586	844.4089405
587	844.1023773
588	844.011771
589	843.8495389
590	843.7270762
591	843.6267182
592	843.5510373
593	843.383004
594	843.2395006
595	843.1370055
596	843.0312002
597	842.7679256
598	842.6456018
599	842.4915916
600	842.3436958
601	842.2756549
602	842.1335429
603	842.0508998
604	841.9277036
605	841.8164287
606	841.7213535
607	841.5202601
608	841.3663052
609	841.210449
610	841.1628207
611	841.0524259
612	840.8758675
613	840.8185375
614	840.6991081
615	840.6545535
616	840.6115144
617	840.5120155
618	840.4237888
619	840.2838196
620	840.1884563
621	840.0146032
622	839.9645729
623	839.8992852
624	839.8411569
625	839.7815445
626	839.7057432
627	839.5590996
628	839.3683098
629	839.3250943
630	839.2108323
631	839.0729425
632	838.9870504
633	838.8316122
634	838.6096649
635	838.5517583
636	838.3057441
637	838.2185593
638	838.1650546
639	838.0622039
640	837.9915146
641	837.8457507
642	837.7395566
643	837.6153913
