iter	Passed	Remaining
0	58	58351
1	61	30733
2	64	21275
3	66	16542
4	68	13701
5	71	11795
6	73	10433
7	77	9602
8	79	8791
9	82	8141
10	85	7665
11	89	7357
12	91	6971
13	94	6632
14	97	6421
15	100	6169
16	102	5938
17	105	5731
18	107	5547
19	109	5382
20	112	5230
21	114	5090
22	119	5055
23	121	4961
24	123	4830
25	129	4840
26	130	4714
27	132	4596
28	134	4486
29	135	4386
30	137	4292
31	138	4203
32	140	4121
33	142	4038
34	143	3966
35	145	3894
36	147	3828
37	149	3772
38	150	3713
39	152	3651
40	153	3598
41	155	3546
42	156	3491
43	158	3444
44	160	3397
45	161	3355
46	163	3314
47	164	3271
48	166	3232
49	168	3193
50	169	3157
51	171	3120
52	172	3085
53	174	3052
54	175	3021
55	177	2989
56	179	2963
57	180	2932
58	182	2905
59	183	2879
60	185	2850
61	186	2826
62	188	2801
63	190	2780
64	191	2757
65	193	2740
66	195	2718
67	196	2696
68	198	2675
69	199	2654
70	201	2634
71	202	2615
72	204	2597
73	206	2579
74	207	2564
75	209	2547
76	210	2528
77	212	2511
78	214	2495
79	215	2478
80	217	2462
81	218	2447
82	220	2435
83	222	2422
84	223	2408
85	225	2393
86	226	2377
87	227	2362
88	229	2348
89	230	2334
90	232	2321
91	234	2315
92	236	2304
93	237	2291
94	239	2279
95	240	2266
96	242	2256
97	243	2245
98	245	2234
99	247	2225
100	248	2216
101	250	2206
102	252	2198
103	254	2188
104	255	2180
105	257	2170
106	259	2163
107	260	2155
108	262	2145
109	264	2136
110	265	2128
111	267	2119
112	269	2112
113	270	2102
114	271	2092
115	273	2083
116	274	2074
117	276	2066
118	278	2058
119	279	2052
120	281	2044
121	283	2037
122	284	2029
123	286	2021
124	287	2014
125	289	2006
126	291	2000
127	292	1993
128	294	1985
129	295	1978
130	297	1970
131	298	1964
132	300	1958
133	302	1954
134	303	1947
135	305	1940
136	307	1934
137	308	1928
138	310	1921
139	311	1915
140	313	1909
141	314	1902
142	316	1896
143	318	1890
144	319	1884
145	321	1878
146	322	1872
147	324	1866
148	325	1860
149	327	1856
150	330	1855
151	332	1855
152	334	1851
153	336	1849
154	338	1845
155	340	1839
156	341	1835
157	343	1830
158	345	1826
159	346	1821
160	348	1815
161	350	1811
162	351	1806
163	353	1801
164	355	1797
165	357	1793
166	358	1788
167	360	1784
168	362	1780
169	363	1775
170	365	1770
171	366	1765
172	368	1760
173	370	1756
174	371	1752
175	373	1748
176	375	1744
177	376	1739
178	378	1735
179	379	1730
180	381	1726
181	382	1721
182	384	1717
183	386	1714
184	388	1711
185	389	1706
186	391	1701
187	393	1697
188	394	1693
189	396	1689
190	397	1685
191	399	1680
192	400	1676
193	402	1672
194	404	1669
195	406	1665
196	407	1662
197	409	1657
198	410	1654
