iter	Passed	Remaining
0	62	62702
1	69	34828
2	76	25386
3	82	20658
4	89	17871
5	96	15951
6	103	14649
7	109	13610
8	117	12961
9	124	12286
10	131	11803
11	137	11350
12	144	10972
13	150	10619
14	157	10330
15	163	10073
16	170	9857
17	177	9665
18	183	9494
19	190	9338
20	197	9200
21	204	9074
22	210	8956
23	217	8847
24	224	8741
25	230	8650
26	237	8556
27	244	8471
28	250	8389
29	257	8316
30	264	8261
31	271	8205
32	277	8138
33	284	8084
34	291	8028
35	297	7974
36	304	7924
37	311	7877
38	317	7830
39	324	7783
40	330	7731
41	337	7689
42	343	7654
43	350	7623
44	357	7589
45	364	7559
46	371	7528
47	377	7496
48	384	7469
49	391	7442
50	398	7410
51	404	7382
52	411	7355
53	418	7330
54	425	7307
55	431	7279
56	438	7254
57	445	7235
58	452	7216
59	459	7192
60	465	7167
61	472	7142
62	478	7121
63	485	7097
64	491	7076
65	498	7057
66	505	7038
67	512	7021
68	518	7000
69	526	6990
70	533	6975
71	539	6957
72	546	6939
73	553	6921
74	559	6904
75	566	6888
76	573	6869
77	579	6853
78	586	6841
79	593	6826
80	600	6810
81	607	6797
82	613	6779
83	620	6766
84	627	6753
85	633	6737
86	640	6723
87	647	6710
88	654	6695
89	661	6683
90	667	6664
91	673	6650
92	680	6635
93	686	6621
94	693	6608
95	700	6596
96	707	6584
97	713	6571
98	720	6558
99	727	6546
100	734	6533
101	740	6523
102	746	6500
103	753	6489
104	759	6476
105	766	6463
106	772	6449
107	779	6435
108	786	6425
109	792	6415
110	799	6404
111	806	6394
112	813	6382
113	819	6370
114	826	6359
115	833	6352
116	840	6339
117	846	6325
118	852	6314
119	859	6300
120	865	6290
121	872	6277
122	879	6268
123	886	6260
124	892	6250
125	899	6240
126	906	6231
127	913	6221
128	920	6212
129	926	6202
130	933	6193
131	939	6179
132	946	6170
133	953	6161
134	959	6150
135	966	6137
136	973	6129
137	979	6120
138	986	6112
139	993	6103
140	1000	6094
141	1006	6083
142	1013	6073
143	1020	6064
144	1026	6054
145	1033	6043
146	1039	6034
147	1046	6024
148	1053	6014
149	1059	6004
150	1065	5993
151	1072	5982
152	1079	5973
153	1085	5964
154	1092	5954
155	1099	5946
156	1105	5936
157	1112	5926
158	1117	5911
159	1124	5903
160	1131	5894
161	1137	5885
162	1144	5878
163	1151	5871
164	1158	5862
165	1165	5855
166	1172	5848
167	1179	5840
168	1186	5832
169	1192	5822
170	1199	5815
171	1206	5807
172	1213	5798
173	1219	5790
174	1226	5782
175	1233	5773
176	1239	5764
177	1246	5757
178	1253	5748
179	1259	5738
180	1266	5729
181	1272	5720
182	1279	5713
183	1286	5704
184	1292	5695
185	1299	5688
186	1306	5680
187	1313	5672
188	1319	5663
189	1326	5656
190	1333	5650
191	1340	5642
192	1347	5635
193	1353	5624
194	1360	5616
195	1367	5608
196	1374	5601
197	1380	5593
198	1387	5586
199	1394	5578
200	1401	5569
201	1407	5561
202	1414	5553
203	1421	5546
204	1428	5539
205	1434	5530
206	1441	5522
207	1448	5514
208	1454	5506
209	1461	5498
210	1468	5490
211	1475	5483
212	1481	5474
213	1488	5466
214	1494	5458
215	1501	5450
216	1508	5442
217	1515	5434
218	1521	5426
219	1528	5418
220	1535	5411
221	1542	5403
222	1548	5396
223	1555	5389
224	1562	5382
225	1569	5374
226	1576	5367
227	1582	5359
228	1589	5350
229	1595	5340
230	1601	5332
231	1608	5325
232	1615	5317
233	1622	5310
234	1628	5301
235	1635	5294
236	1642	5286
237	1648	5278
238	1655	5270
239	1661	5261
240	1668	5253
241	1674	5246
242	1681	5238
243	1688	5230
244	1695	5223
245	1701	5216
246	1708	5208
247	1715	5200
248	1722	5193
249	1728	5186
250	1735	5178
251	1741	5169
252	1748	5162
253	1755	5154
254	1761	5147
255	1768	5139
256	1775	5132
257	1781	5124
258	1788	5117
259	1795	5110
260	1802	5103
261	1809	5095
262	1815	5088
263	1822	5081
264	1829	5073
265	1835	5066
266	1842	5058
267	1849	5052
268	1856	5045
269	1863	5037
270	1869	5029
271	1876	5022
272	1883	5014
273	1889	5007
274	1896	5000
275	1903	4993
276	1910	4986
277	1917	4979
278	1923	4970
279	1930	4964
280	1937	4957
281	1944	4949
282	1950	4942
283	1957	4935
284	1964	4927
285	1970	4920
286	1977	4912
287	1984	4905
288	1990	4897
289	1997	4890
290	2004	4882
291	2010	4875
292	2017	4867
293	2023	4859
294	2030	4853
295	2037	4846
296	2043	4837
297	2050	4829
298	2057	4822
299	2063	4815
300	2070	4807
301	2076	4800
302	2083	4792
303	2089	4784
304	2096	4777
305	2103	4769
306	2109	4762
307	2116	4755
308	2123	4747
309	2129	4739
310	2136	4732
311	2143	4726
312	2149	4718
313	2156	4711
314	2163	4703
315	2170	4697
316	2176	4690
317	2183	4683
318	2190	4676
319	2197	4669
320	2203	4661
321	2210	4655
322	2217	4648
323	2224	4641
324	2231	4634
325	2238	4627
326	2244	4620
327	2251	4612
328	2257	4605
329	2264	4597
330	2271	4590
331	2278	4583
332	2284	4576
333	2291	4568
334	2297	4560
335	2304	4553
336	2310	4546
337	2317	4539
338	2324	4532
339	2331	4525
340	2337	4517
341	2344	4510
342	2350	4503
343	2357	4495
344	2364	4488
345	2370	4481
346	2377	4474
347	2384	4467
348	2390	4459
349	2397	4453
350	2404	4446
351	2411	4438
352	2417	4431
353	2424	4424
354	2431	4417
355	2438	4410
356	2444	4403
357	2451	4395
358	2457	4388
359	2464	4381
360	2471	4374
361	2478	4367
362	2484	4360
363	2491	4353
364	2498	4345
365	2504	4338
366	2511	4331
367	2518	4324
368	2524	4317
369	2531	4311
370	2538	4304
371	2545	4296
372	2552	4289
373	2558	4282
374	2565	4275
375	2572	4268
376	2579	4261
377	2585	4254
378	2591	4247
379	2598	4239
380	2605	4232
381	2611	4225
382	2618	4217
383	2624	4210
384	2631	4203
385	2637	4196
386	2644	4188
387	2651	4181
388	2657	4174
389	2664	4166
390	2670	4159
391	2677	4152
392	2684	4145
393	2690	4138
394	2697	4131
395	2703	4124
396	2710	4117
397	2717	4110
398	2724	4103
399	2730	4096
400	2737	4089
401	2744	4082
402	2750	4075
403	2757	4068
404	2764	4061
405	2771	4054
406	2777	4047
407	2784	4040
408	2791	4033
409	2797	4026
410	2804	4019
411	2811	4012
412	2817	4005
413	2824	3998
414	2831	3991
415	2838	3984
416	2844	3977
417	2851	3970
418	2858	3963
419	2865	3956
420	2871	3949
421	2878	3942
422	2884	3935
423	2891	3928
424	2898	3921
425	2905	3914
426	2912	3907
427	2918	3900
428	2925	3893
429	2931	3886
430	2938	3879
431	2945	3872
432	2951	3865
433	2958	3858
434	2965	3851
435	2971	3844
436	2978	3837
437	2985	3830
438	2991	3823
439	2998	3816
440	3005	3809
441	3011	3802
442	3018	3795
443	3025	3788
444	3032	3781
445	3038	3774
446	3045	3767
447	3051	3760
448	3058	3753
449	3065	3746
450	3071	3739
451	3078	3732
452	3085	3725
453	3091	3718
454	3098	3711
455	3105	3704
456	3112	3697
457	3119	3691
458	3125	3684
459	3132	3677
460	3139	3670
461	3145	3663
462	3152	3656
463	3159	3649
464	3165	3642
465	3172	3635
466	3179	3628
467	3186	3621
468	3192	3614
469	3199	3607
470	3205	3600
471	3212	3593
472	3219	3586
473	3225	3579
474	3232	3572
475	3239	3565
476	3245	3558
477	3252	3551
478	3259	3544
479	3265	3537
480	3272	3530
481	3279	3523
482	3285	3517
483	3292	3509
484	3298	3502
485	3305	3495
486	3311	3488
487	3318	3481
488	3325	3475
489	3332	3468
490	3338	3461
491	3345	3454
492	3352	3447
493	3359	3440
494	3365	3433
495	3372	3426
496	3379	3419
497	3385	3412
498	3392	3405
499	3399	3399
500	3405	3392
501	3412	3385
502	3419	3378
503	3425	3371
504	3432	3364
505	3439	3357
506	3446	3351
507	3453	3344
508	3460	3337
509	3466	3330
510	3473	3323
511	3480	3317
512	3487	3310
513	3493	3303
514	3500	3296
515	3507	3289
516	3513	3282
517	3520	3276
518	3527	3269
519	3534	3262
520	3540	3255
